序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
265,603948, 建业股份,18.61,0.05,0.081,0.064,21.32,0.176,-0.101,-0.177,-0.354,2,3.0,3,0.0,6.42,-6.42,38.76,16.76,22.0
268,2392, 北京利尔,4.86,2.97,0.418,0.413,21.26,0.488,0.213,-0.13,-0.014,1,3.0,3,3.15,1.2,1.94,35.72,23.27,12.46
269,300136, 信维通信,26.47,1.46,0.541,0.733,21.17,0.592,-0.232,-0.136,-0.512,1,4.0,6,13.75,8.86,4.88,30.68,24.31,6.37
270,300088, 长信科技,6.96,2.81,0.346,0.724,21.13,-0.196,0.424,-0.691,0.673,1,2.0,3,11.75,6.29,5.46,30.25,26.43,3.82
271,301508, 中机认检,36.09,-1.2,0.221,3.596,21.08,4.342,7.187,3.247,5.553,2,4.0,4,8.05,10.64,-2.59,25.81,20.98,4.82
272,600062, 华润双鹤,18.48,-1.12,0.049,0.235,21.06,0.197,1.293,-0.378,2.665,3,3.0,3,8.31,8.21,0.1,26.78,20.81,5.97
274,600895, 张江高科,27.84,2.35,0.33,0.854,21.0,0.348,0.978,-0.178,0.103,2,3.0,4,14.99,10.9,4.08,29.73,26.45,3.28
275,2234, 民和股份,8.13,-1.22,0.115,0.38,20.92,-0.053,2.019,-0.228,4.933,1,2.0,3,1.25,0.0,1.25,33.7,26.81,6.89
276,762, 西藏矿业,21.54,2.28,0.266,1.122,20.91,-0.287,0.693,-0.462,2.193,1,1.0,2,8.53,7.86,0.67,27.39,21.5,5.89
280,301266, 宇邦新材,36.73,1.83,0.724,4.38,20.8,0.035,-1.747,-1.456,-1.597,2,2.0,3,1.9,0.07,1.83,24.21,19.06,5.15
281,663, 永安林业,5.76,0.88,0.73,0.141,20.78,-0.86,1.8,1.685,8.134,1,1.0,6,18.94,0.0,18.94,19.8,19.32,0.47
