序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
3855,002922, 伊戈尔,20.61,-3.69,-0.494,-1.285,-16.47,1.581,-3.847,3.357,2.217,0,2,4,13.55,12.89,0.66,25.64,31.72,-6.08
3856,300755, 华致酒行,18.56,-0.85,-0.044,-0.258,-16.48,-0.092,-0.06,-0.249,0.573,0,1,3,2.41,4.43,-2.02,18.43,21.92,-3.49
3857,688590, 新致软件,23.54,-4.11,-0.284,-0.455,-16.48,0.173,1.703,0.567,3.335,0,3,6,7.74,15.05,-7.3,29.79,30,-0.21
3858,601919, 中远海控,13.82,-1.14,-0.039,-0.044,-16.49,-0.268,-0.342,-0.268,-0.41,0,0,2,14.37,23.65,-9.28,22.59,22.28,0.31
3859,301628, 强达电路,90.71,0.09,-0.409,-2.385,-16.51,-3.328,-10.771,-9.046,-20.814,0,1,3,1.09,1.56,-0.47,17.06,22.59,-5.52
3860,688205, 德科立,91.02,-3.99,-0.448,-1.259,-16.54,-1.343,-2.99,-1.847,-3.262,0,2,3,8.31,15.1,-6.79,23.1,22.75,0.35
3861,000045, 深纺织Ａ,10.61,0.09,-0.122,-0.294,-16.54,-0.597,0.323,-1.226,0.066,0,1,2,0,0,0,15.27,25.18,-9.91
3862,300665, 飞鹿股份,7.14,-0.56,-0.263,-0.43,-16.55,-0.893,-0.665,-1.26,-1.371,0,1,3,0,0,0,12.74,24.5,-11.77
3863,000555, 神州信息,13.25,-2.07,-0.185,-0.939,-16.56,0.753,-0.104,0.77,-0.67,0,2,5,6.43,11.21,-4.77,23.25,22.95,0.3
3864,001286, 陕西能源,8.81,-0.68,-0.125,-0.057,-16.56,-0.751,0.405,-1.087,0.188,0,0,1,8.05,15.35,-7.3,22.63,28.33,-5.7
3865,688246, 嘉和美康,39.23,0.31,-0.461,-0.457,-16.57,-2.948,-3.182,-4.894,-2.852,0,0,1,6.44,10.66,-4.22,25.41,31.37,-5.96
